title,price,manufacturer,category,fuel_type,fiscal_horsepower,transmission,mileage,year,insertion_date,age,price_per_km,price_per_horsepower
BMW Série 4 Gran Coupé Luxury,130000.0,BMW,Sedan,Petrol,7.0,Automatic,140000.0,2019,2024-02-16,5,0.9285714285714286,18571.428571428572
Mercedes-Benz CLA KIT AMG,128000.0,Mercedes,Sedan,Petrol,6.0,Automatic,21000.0,2018,2024-02-26,6,6.095238095238095,21333.333333333332
Mercedes-Benz Classe E,46900.0,Mercedes,Sedan,Petrol,10.0,Automatic,128000.0,2004,2024-02-26,20,0.36640625,4690.0
Audi A5 Sportback,185000.0,Audi,City,Petrol,8.0,Automatic,70000.0,2021,2024-02-26,3,2.642857142857143,23125.0
KIA Rio Berline,76900.0,KIA,Sedan,Petrol,6.0,Manual,1000.0,2023,2024-02-26,1,76.9,12816.666666666666
Audi A6,34500.0,Audi,Sedan,Petrol,11.0,Automatic,203000.0,2008,2024-02-26,16,0.16995073891625614,3136.3636363636365
KIA Rio 5p,62900.0,KIA,City,Petrol,5.0,Manual,31000.0,2021,2024-02-26,3,2.029032258064516,12580.0
Volkswagen Amarok AWD,87000.0,Volkswagen,SUV,Diesel,7.0,Manual,180000.0,2016,2024-02-26,8,0.48333333333333334,12428.57142857143
Peugeot RCZ,40000.0,Peugeot,City,Petrol,7.0,Manual,171000.0,2011,2024-02-26,13,0.23391812865497075,5714.285714285715
Renault Clio,26000.0,Renault,City,Diesel,5.0,Manual,167000.0,201,2024-02-26,1823,0.15568862275449102,5200.0
Ssangyong Tivoli,68000.0,Ssangyong,SUV,Petrol,7.0,Manual,115000.0,2020,2024-02-26,4,0.591304347826087,9714.285714285714
Seat Leon,53500.0,Seat,City,Petrol,5.0,Manual,152000.0,2016,2024-02-26,8,0.3519736842105263,10700.0
Volkswagen Golf 7 R Line,83000.0,Volkswagen,Compact,Petrol,6.0,Manual,40000.0,2017,2024-02-16,7,2.075,13833.333333333334
Volkswagen Golf 7 Highline bva,86000.0,Volkswagen,City,Diesel,6.0,Automatic,158000.0,2019,2024-02-26,5,0.5443037974683544,14333.333333333334
KIA Sportage,120000.0,KIA,City,Diesel,10.0,Automatic,132000.0,2018,2024-02-26,6,0.9090909090909091,12000.0
Mercedes-Benz Classe E,68000.0,Mercedes,Sedan,Diesel,10.0,Automatic,189000.0,201,2024-02-26,1823,0.35978835978835977,6800.0
KIA Rio 5p,55000.0,KIA,City,Petrol,5.0,Manual,77000.0,2020,2024-02-26,4,0.7142857142857143,11000.0
Land Rover Range Rover Evoque R dynamic SE,358000.0,Land Rover,SUV,Diesel,9.0,Automatic,101000.0,2024,2024-02-26,0,3.5445544554455446,39777.77777777778
